,Maximos,Mimimos,Promedios
0,13470.823667783021,7698.194200669811,10858.942638499688
1,14103.194200669812,10272.388401339625,11859.366894822033
2,14759.953134896226,10268.32366778302,12860.283593821205
3,14731.5,10912.888401339624,12696.157371726427
4,14755.888401339622,12818.12946711321,14026.631887899108
5,14747.758934226415,12822.194200669812,13528.52167586519
6,15376.064733556603,11549.323667783017,13123.609479425784
7,15376.064733556603,12822.194200669812,13628.632428142935
8,14099.129467113207,10912.888401339622,12933.894778223015
9,14103.194200669812,12181.694200669812,13156.511074193882
10,14099.12946711321,12822.194200669812,14085.1455473352
11,14103.194200669812,14103.194200669812,14103.194200669814
12,14103.194200669812,14103.194200669812,14103.194200669814
13,14739.629467113207,14739.629467113207,14739.629467113193
14,14099.129467113207,14099.129467113207,14099.129467113193
15,14099.129467113207,14099.129467113207,14099.129467113193
16,13466.758934226416,13466.758934226416,13466.758934226422
17,12826.258934226416,12826.258934226416,12826.258934226425
18,12193.888401339624,12193.888401339624,12193.888401339624
19,12189.823667783021,12189.823667783021,12189.823667783035
20,10912.888401339625,10912.888401339625,10912.888401339638
21,12830.323667783021,12830.323667783021,12830.32366778304
22,11553.388401339624,11553.388401339624,11553.388401339631
23,11553.388401339624,11553.388401339624,11553.388401339631
24,11553.388401339624,11553.388401339624,11553.388401339631
25,12189.823667783021,12189.823667783021,12189.823667783035
26,12193.888401339624,12193.888401339624,12193.888401339624
27,11553.388401339624,11553.388401339624,11553.388401339631
28,13466.758934226415,13466.758934226415,13466.758934226422
29,14103.194200669812,14103.194200669812,14103.194200669814
30,14091.0,14091.0,14091.0
31,12826.258934226416,12826.258934226416,12826.258934226425
32,12189.823667783021,12189.823667783021,12189.823667783035
33,12822.194200669812,12822.194200669812,12822.194200669808
34,12185.758934226416,12185.758934226416,12185.758934226431
35,12826.258934226416,12826.258934226416,12826.258934226425
36,12193.888401339622,12193.888401339622,12193.888401339624
37,10921.017868452831,10921.017868452831,10921.017868452827
38,11557.453134896226,11557.453134896226,11557.453134896232
39,10916.953134896226,10916.953134896226,10916.953134896232
40,11553.388401339622,11553.388401339622,11553.38840133963
41,12189.82366778302,12189.82366778302,12189.823667783035
42,12193.888401339624,12193.888401339624,12193.888401339624
43,12193.888401339625,12193.888401339625,12193.888401339624
44,12189.823667783021,12189.823667783021,12189.823667783035
45,12189.823667783021,12189.823667783021,12189.823667783035
46,12826.258934226416,12826.258934226416,12826.258934226425
47,12189.823667783021,12189.823667783021,12189.823667783035
48,10916.95313489623,10916.95313489623,10916.953134896232
49,11557.453134896228,11557.453134896228,11557.453134896232
50,11557.453134896228,11557.453134896228,11557.453134896232
51,10280.517868452833,10280.517868452833,10280.517868452824
52,9644.082602009436,9644.082602009436,9644.08260200942
53,10921.017868452831,10921.017868452831,10921.017868452827
54,12189.82366778302,12189.82366778302,12189.823667783035
55,12189.82366778302,12189.82366778302,12189.823667783035
56,14099.129467113207,14099.129467113207,14099.129467113193
57,14739.629467113207,14739.629467113207,14739.629467113193
58,14735.564733556605,14735.564733556605,14735.564733556625
59,14103.194200669812,14103.194200669812,14103.194200669814
60,14739.629467113207,14739.629467113207,14739.629467113193
61,12818.129467113207,12818.129467113207,12818.129467113195
62,13462.694200669812,13462.694200669812,13462.69420066981
63,14103.194200669812,14103.194200669812,14103.194200669814
64,12822.194200669812,12822.194200669812,12822.194200669808
65,12193.888401339624,12193.888401339624,12193.888401339624
66,10916.953134896228,10916.953134896228,10916.953134896232
67,11553.388401339624,11553.388401339624,11553.388401339631
68,10912.888401339625,10912.888401339625,10912.888401339638
69,10916.953134896228,10916.953134896228,10916.953134896232
70,11553.388401339624,11553.388401339624,11553.388401339631
71,11557.45313489623,11557.45313489623,11557.453134896232
72,12193.888401339625,12193.888401339625,12193.888401339624
73,11553.388401339625,11553.388401339625,11553.388401339631
74,10916.953134896226,10916.953134896226,10916.953134896232
75,10276.453134896226,10276.453134896226,10276.453134896232
76,12826.258934226416,12826.258934226416,12826.258934226425
77,14103.194200669812,14103.194200669812,14103.194200669814
78,14099.129467113207,14099.129467113207,14099.129467113193
79,14103.194200669812,14103.194200669812,14103.194200669814
80,12189.82366778302,12189.82366778302,12189.823667783035
81,12193.888401339624,12193.888401339624,12193.888401339624
82,12193.888401339624,12193.888401339624,12193.888401339624
83,11549.32366778302,11549.32366778302,11549.323667783035
84,12185.758934226416,12185.758934226416,12185.758934226431
85,13466.758934226416,13466.758934226416,13466.758934226422
86,12189.823667783021,12189.823667783021,12189.823667783035
87,10921.017868452831,10921.017868452831,10921.017868452827
88,11553.388401339624,11553.388401339624,11553.388401339631
89,10916.953134896226,10916.953134896226,10916.953134896232
90,10916.953134896226,10916.953134896226,10916.953134896232
91,11553.388401339624,11553.388401339624,11553.388401339631
92,12193.888401339624,12193.888401339624,12193.888401339624
93,12830.32366778302,12830.32366778302,12830.32366778304
94,12830.323667783017,12830.323667783017,12830.32366778304
95,12185.758934226415,12185.758934226415,12185.758934226431
96,11549.32366778302,11549.32366778302,11549.323667783035
97,12189.82366778302,12189.82366778302,12189.823667783035
98,12830.32366778302,12830.32366778302,12830.32366778304
99,12189.82366778302,12189.82366778302,12189.823667783035
100,11553.388401339622,11553.388401339622,11553.38840133963
101,10916.953134896226,10916.953134896226,10916.953134896232
102,11553.388401339622,11553.388401339622,11553.38840133963
103,12189.82366778302,12189.82366778302,12189.823667783035
104,14099.129467113207,14099.129467113207,14099.129467113193
105,14739.629467113207,14739.629467113207,14739.629467113193
